time,one,tow
2024-06-24 21:08:18.387289,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:18.589869,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:18.777264,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:18.964779,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:19.152303,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:19.339800,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:19.527334,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:19.751788,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:19.980427,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:20.214789,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:20.449134,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:20.683540,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:20.902295,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:21.121069,-0.2700000000000002,0.0800000000000003
2024-06-24 21:08:21.386677,-0.2600000000000002,0.0700000000000002
2024-06-24 21:08:21.589820,-0.2700000000000001,0.08
2024-06-24 21:08:21.824196,-0.2600000000000001,0.07
2024-06-24 21:08:22.011653,-0.2600000000000001,0.07
2024-06-24 21:08:22.214785,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:22.480441,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:22.683519,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:22.886657,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:23.089858,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:23.292900,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:23.480395,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:23.715155,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:23.902321,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:24.121045,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:24.387002,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:24.621045,-0.2600000000000001,0.0600000000000002
2024-06-24 21:08:24.792917,-0.2600000000000001,0.0600000000000002
